state;action_reward;n_state 
15038&0|6835&1|4458&0|2870&1|18151&1|18462&0|16937&1|17350&0|220&0|9784&0;18892&0|3692&0|4976&0;15038&0|6835&1|4458&0|2870&1|18151&1|18462&0|16937&1|17350&0|220&0|9784&0|18892&0|3692&0|4976&0
4257&1|7744&0|12062&1|4599&0|15428&0|2530&0|15553&1|2654&1|8100&1|6819&0;14326&0|19948&0|17569&1;4257&1|7744&0|12062&1|4599&0|15428&0|2530&0|15553&1|2654&1|8100&1|6819&0|14326&0|19948&0|17569&1
375&0|13598&1|11945&1|10099&0|10099&1|16871&0|17645&0|11484&0|5971&1|17645&0;15661&0|8052&0|14652&1;375&0|13598&1|11945&1|10099&0|10099&1|16871&0|17645&0|11484&0|5971&1|17645&0|15661&0|8052&0|14652&1
14480&1|16814&0|11882&1|1154&0|17113&0|428&0|4505&0|5368&1|11882&0|11604&0;15098&0|6542&1|20181&1;14480&1|16814&0|11882&1|1154&0|17113&0|428&0|4505&0|5368&1|11882&0|11604&0|15098&0|6542&1|20181&1
6513&1|9178&0|2059&0|14292&0|2059&1|2059&0|9422&0|9047&0|9178&1|6917&0;5194&0|15267&0|11492&1;6513&1|9178&0|2059&0|14292&0|2059&1|2059&0|9422&0|9047&0|9178&1|6917&0|5194&0|15267&0|11492&1
16498&0|4364&1|3710&0|12473&1|17873&1|15374&1|15344&0|3311&1|8962&1|4952&0;19496&1|14718&0|7014&0;16498&0|4364&1|3710&0|12473&1|17873&1|15374&1|15344&0|3311&1|8962&1|4952&0|19496&1|14718&0|7014&0
7072&1|16827&1|1123&1|14135&0|19033&0|5948&0|13820&0|18580&0|20360&0|14368&0;790&1|18830&1|7500&1;7072&1|16827&1|1123&1|14135&0|19033&0|5948&0|13820&0|18580&0|20360&0|14368&0|790&1|18830&1|7500&1
6779&1|9657&1|3500&0|4192&0|10364&0|2494&0|8566&0|9853&1|15732&0|7162&0;13709&0|12411&1|16975&0;6779&1|9657&1|3500&0|4192&0|10364&0|2494&0|8566&0|9853&1|15732&0|7162&0|13709&0|12411&1|16975&0
12910&0|3679&1|2295&1|3584&0|2295&1|18277&1|18277&1|9913&0|20034&0|7066&0;11228&1|6089&1|13651&1;12910&0|3679&1|2295&1|3584&0|2295&1|18277&1|18277&1|9913&0|20034&0|7066&0|11228&1|6089&1|13651&1
20230&1|7586&1|7422&1|17558&1|17120&0|1369&1|4871&1|5123&1|9171&1|9155&1;12225&1|19636&1|2180&1;20230&1|7586&1|7422&1|17558&1|17120&0|1369&1|4871&1|5123&1|9171&1|9155&1|12225&1|19636&1|2180&1
9991&1|16346&0|18145&1|2480&0|14132&0|9991&1|9636&1|9991&1|1059&1|1393&0;9636&0|3246&1|9991&0;9991&1|16346&0|18145&1|2480&0|14132&0|9991&1|9636&1|9991&1|1059&1|1393&0|9636&0|3246&1|9991&0
12782&1|10070&0|14362&0|15051&1|8241&0|12400&1|7996&1|11082&1|10854&1|5882&0;669&0|2048&1|4078&1;12782&1|10070&0|14362&0|15051&1|8241&0|12400&1|7996&1|11082&1|10854&1|5882&0|669&0|2048&1|4078&1
13671&0|16963&1|15413&0|13515&1|12588&0|15376&0|6105&1|11428&0|16730&0|4017&1;18816&0|11762&1|17569&0;13671&0|16963&1|15413&0|13515&1|12588&0|15376&0|6105&1|11428&0|16730&0|4017&1|18816&0|11762&1|17569&0
1424&1|20471&0|685&1|17155&0|7948&0|14042&0|15985&0|12738&0|9585&0|12263&0;4964&0|11464&0|15044&0;1424&1|20471&0|685&1|17155&0|7948&0|14042&0|15985&0|12738&0|9585&0|12263&0|4964&0|11464&0|15044&0
6595&1|17421&1|13272&1|6769&0|4192&1|14700&1|18679&1|5324&1|3193&1|17393&1;7133&1|16062&1|15507&1;6595&1|17421&1|13272&1|6769&0|4192&1|14700&1|18679&1|5324&1|3193&1|17393&1|7133&1|16062&1|15507&1
20084&1|4458&0|15171&1|12004&0|10207&0|4458&1|3000&1|3195&0|16641&0|1293&0;13176&1|13135&1|854&0;20084&1|4458&0|15171&1|12004&0|10207&0|4458&1|3000&1|3195&0|16641&0|1293&0|13176&1|13135&1|854&0
7795&1|12657&0|20255&0|5023&1|14027&1|4200&0|14554&1|17690&0|385&1|4072&1;10243&1|14554&1|9222&1;7795&1|12657&0|20255&0|5023&1|14027&1|4200&0|14554&1|17690&0|385&1|4072&1|10243&1|14554&1|9222&1
17820&0|20637&1|16962&0|16911&0|7575&0|15914&0|13967&0|1338&0|14439&1|8705&0;2831&0|10959&0|16615&0;17820&0|20637&1|16962&0|16911&0|7575&0|15914&0|13967&0|1338&0|14439&1|8705&0|2831&0|10959&0|16615&0
5011&0|2497&0|19883&1|17537&1|2018&1|8535&0|2497&0|8535&1|20626&0|9036&1;14328&1|9847&1|13123&1;5011&0|2497&0|19883&1|17537&1|2018&1|8535&0|2497&0|8535&1|20626&0|9036&1|14328&1|9847&1|13123&1
10573&1|13273&1|3246&1|16896&1|8776&0|7817&1|9991&1|2521&1|2747&1|2480&0;13578&0|8391&0|6917&0;10573&1|13273&1|3246&1|16896&1|8776&0|7817&1|9991&1|2521&1|2747&1|2480&0|13578&0|8391&0|6917&0
8039&0|8612&0|8039&0|8039&0|7628&0|8039&1|19568&0|16029&0|8612&0|1358&0;19538&0|19568&1|3678&0;8039&0|8612&0|8039&0|8039&0|7628&0|8039&1|19568&0|16029&0|8612&0|1358&0|19538&0|19568&1|3678&0
16126&1|10122&1|12458&1|12458&1|12046&1|9391&1|15495&1|19654&1|9482&1|18565&1;5391&0|14339&1|6171&1;16126&1|10122&1|12458&1|12458&1|12046&1|9391&1|15495&1|19654&1|9482&1|18565&1|5391&0|14339&1|6171&1
19844&1|1501&1|2235&1|13933&1|16021&1|5256&0|14879&1|15367&0|7936&1|7911&1;18266&1|5827&1|17420&1;19844&1|1501&1|2235&1|13933&1|16021&1|5256&0|14879&1|15367&0|7936&1|7911&1|18266&1|5827&1|17420&1
14716&0|5791&1|20659&0|6141&0|20351&0|18807&0|12903&1|10952&1|17087&1|11615&1;7183&0|7183&0|1588&1;14716&0|5791&1|20659&0|6141&0|20351&0|18807&0|12903&1|10952&1|17087&1|11615&1|7183&0|7183&0|1588&1
10133&1|17029&1|2558&0|12024&1|3615&1|17131&0|5537&1|8015&1|19304&0|9934&1;18718&0|2486&1|7140&1;10133&1|17029&1|2558&0|12024&1|3615&1|17131&0|5537&1|8015&1|19304&0|9934&1|18718&0|2486&1|7140&1
7046&1|17683&1|17683&0|17876&0|15662&1|11397&0|9726&1|3126&0|9726&0|9032&0;2982&0|14884&0|10185&0;7046&1|17683&1|17683&0|17876&0|15662&1|11397&0|9726&1|3126&0|9726&0|9032&0|2982&0|14884&0|10185&0
19094&0|5564&0|12604&0|14005&1|4312&1|15581&1|12493&0|18984&1|18075&0|19895&1;18886&0|20387&0|7162&0;19094&0|5564&0|12604&0|14005&1|4312&1|15581&1|12493&0|18984&1|18075&0|19895&1|18886&0|20387&0|7162&0
12246&1|4486&0|5295&0|11148&0|946&0|10471&0|18852&1|17885&1|7382&1|14700&0;3857&1|15100&1|11991&1;12246&1|4486&0|5295&0|11148&0|946&0|10471&0|18852&1|17885&1|7382&1|14700&0|3857&1|15100&1|11991&1
11773&0|19442&0|17418&1|19442&1|17418&0|3235&1|16311&0|19442&1|3235&0|19442&1;19442&1|1827&0|3235&0;11773&0|19442&0|17418&1|19442&1|17418&0|3235&1|16311&0|19442&1|3235&0|19442&1|19442&1|1827&0|3235&0
18453&1|16469&1|5896&1|18037&1|14209&1|12242&1|7692&1|13878&0|8894&1|9454&1;4899&0|12242&0|4899&1;18453&1|16469&1|5896&1|18037&1|14209&1|12242&1|7692&1|13878&0|8894&1|9454&1|4899&0|12242&0|4899&1
11151&1|12639&1|18816&1|17012&1|10642&0|11675&0|3868&1|4118&1|9853&1|8237&0;19534&1|9133&1|11749&1;11151&1|12639&1|18816&1|17012&1|10642&0|11675&0|3868&1|4118&1|9853&1|8237&0|19534&1|9133&1|11749&1
2494&0|10364&0|9853&0|6779&0|13598&0|4118&0|13163&0|9942&0|4192&0|7162&1;13709&0|19783&0|12411&0;2494&0|10364&0|9853&0|6779&0|13598&0|4118&0|13163&0|9942&0|4192&0|7162&1|13709&0|19783&0|12411&0
15992&0|11203&1|9505&0|15992&1|12551&1|14480&1|19298&1|13235&1|11098&0|11401&1;5910&0|13998&1|10595&1;15992&0|11203&1|9505&0|15992&1|12551&1|14480&1|19298&1|13235&1|11098&0|11401&1|5910&0|13998&1|10595&1
15661&1|4546&0|8422&0|8052&1|14047&0|9853&0|14700&1|12507&1|11945&1|13598&0;17645&0|4017&0|5703&1;15661&1|4546&0|8422&0|8052&1|14047&0|9853&0|14700&1|12507&1|11945&1|13598&0|17645&0|4017&0|5703&1
1394&0|11223&0|16440&0|12827&0|15659&0|3182&1|5091&0|9689&1|20011&1|15739&0;20515&1|19939&1|14727&1;1394&0|11223&0|16440&0|12827&0|15659&0|3182&1|5091&0|9689&1|20011&1|15739&0|20515&1|19939&1|14727&1
11813&0|7162&0|15732&0|15973&1|19607&0|19180&0|8566&1|8364&1|12411&1|20716&0;2494&1|10547&1|19783&1;11813&0|7162&0|15732&0|15973&1|19607&0|19180&0|8566&1|8364&1|12411&1|20716&0|2494&1|10547&1|19783&1
14466&1|20068&1|18628&1|12675&0|19545&0|3500&1|12963&1|1299&1|4067&1|8995&0;20557&1|20202&1|15569&1;14466&1|20068&1|18628&1|12675&0|19545&0|3500&1|12963&1|1299&1|4067&1|8995&0|20557&1|20202&1|15569&1
12111&0|8977&1|6688&1|15856&0|14843&0|17748&1|6696&0|8867&0|49&1|18261&0;15856&0|7052&0|17561&1;12111&0|8977&1|6688&1|15856&0|14843&0|17748&1|6696&0|8867&0|49&1|18261&0|15856&0|7052&0|17561&1
15176&0|10707&1|15176&0|8497&0|9154&0|20258&0|16732&0|8497&0|3351&0|948&0;3351&1|4866&1|7304&1;15176&0|10707&1|15176&0|8497&0|9154&0|20258&0|16732&0|8497&0|3351&0|948&0|3351&1|4866&1|7304&1
1367&1|6717&1|13562&1|5471&1|13412&1|4578&1|2591&1|1329&1|18814&0|8581&1;3639&1|13841&1|13513&0;1367&1|6717&1|13562&1|5471&1|13412&1|4578&1|2591&1|1329&1|18814&0|8581&1|3639&1|13841&1|13513&0
6917&1|20084&0|2090&0|2276&1|10309&1|15267&1|16795&1|9187&0|16066&1|8357&1;7050&1|18816&1|14047&1;6917&1|20084&0|2090&0|2276&1|10309&1|15267&1|16795&1|9187&0|16066&1|8357&1|7050&1|18816&1|14047&1
13025&1|814&1|17517&0|2947&1|15835&1|17891&0|14048&0|16753&0|6506&0|11710&1;6952&1|5945&0|1008&1;13025&1|814&1|17517&0|2947&1|15835&1|17891&0|14048&0|16753&0|6506&0|11710&1|6952&1|5945&0|1008&1
16303&0|14533&0|8334&0|13018&1|6911&0|6059&0|11413&0|19618&0|9998&0|11424&0;6181&0|4012&0|12071&0;16303&0|14533&0|8334&0|13018&1|6911&0|6059&0|11413&0|19618&0|9998&0|11424&0|6181&0|4012&0|12071&0
5314&0|3478&1|11644&0|2987&1|11294&0|237&0|15740&0|12210&0|9452&0|13667&0;13680&0|15437&1|7833&1;5314&0|3478&1|11644&0|2987&1|11294&0|237&0|15740&0|12210&0|9452&0|13667&0|13680&0|15437&1|7833&1
1170&0|8100&1|16730&1|8391&1|14174&0|8108&1|10595&1|13312&1|9853&1|8018&1;1990&1|19333&1|12655&1;1170&0|8100&1|16730&1|8391&1|14174&0|8108&1|10595&1|13312&1|9853&1|8018&1|1990&1|19333&1|12655&1
8981&1|18075&0|11762&1|10581&0|11945&1|11484&1|2494&0|14523&1|20481&0|12963&0;12493&0|8718&0|14005&0;8981&1|18075&0|11762&1|10581&0|11945&1|11484&1|2494&0|14523&1|20481&0|12963&0|12493&0|8718&0|14005&0
4082&0|18292&0|14465&0|7608&0|19381&1|12486&0|12244&0|9906&0|5891&0|12486&0;14075&0|20007&0|14541&1;4082&0|18292&0|14465&0|7608&0|19381&1|12486&0|12244&0|9906&0|5891&0|12486&0|14075&0|20007&0|14541&1
8511&0|13316&0|16328&1|12495&1|17044&0|17615&0|17044&0|18377&1|15115&0|20271&0;15767&0|8261&0|8301&1;8511&0|13316&0|16328&1|12495&1|17044&0|17615&0|17044&0|18377&1|15115&0|20271&0|15767&0|8261&0|8301&1
7162&0|18940&1|11762&1|12604&1|3490&1|8981&0|12493&0|18984&0|18886&1|11484&0;5437&1|8934&0|2720&1;7162&0|18940&1|11762&1|12604&1|3490&1|8981&0|12493&0|18984&0|18886&1|11484&0|5437&1|8934&0|2720&1
13344&0|8398&0|1384&0|14963&0|13897&0|5011&0|12526&1|7236&0|8062&0|16738&0;16295&0|3133&0|17058&0;13344&0|8398&0|1384&0|14963&0|13897&0|5011&0|12526&1|7236&0|8062&0|16738&0|16295&0|3133&0|17058&0
14700&1|11749&1|19752&1|7291&1|4192&0|15216&1|10234&0|8718&1|4546&1|1224&0;1293&1|2473&1|8422&1;14700&1|11749&1|19752&1|7291&1|4192&0|15216&1|10234&0|8718&1|4546&1|1224&0|1293&1|2473&1|8422&1
11766&1|20011&1|8972&1|3665&1|6565&1|16195&1|9233&1|10119&1|13567&1|2811&1;6563&1|3135&1|1306&1;11766&1|20011&1|8972&1|3665&1|6565&1|16195&1|9233&1|10119&1|13567&1|2811&1|6563&1|3135&1|1306&1
5956&0|20129&0|9945&0|5803&0|1271&0|16112&1|18854&0|4870&0|9945&0|9945&0;16112&1|16112&1|16112&1;5956&0|20129&0|9945&0|5803&0|1271&0|16112&1|18854&0|4870&0|9945&0|9945&0|16112&1|16112&1|16112&1
6542&0|1224&0|14842&0|13709&0|11749&0|18947&0|10642&0|15659&0|13163&1|20481&0;19895&0|7066&0|19094&0;6542&0|1224&0|14842&0|13709&0|11749&0|18947&0|10642&0|15659&0|13163&1|20481&0|19895&0|7066&0|19094&0
1224&0|3490&0|18886&0|18075&1|18075&0|4017&1|8981&1|1224&1|5564&0|18940&0;15216&1|7162&0|14005&1;1224&0|3490&0|18886&0|18075&1|18075&0|4017&1|8981&1|1224&1|5564&0|18940&0|15216&1|7162&0|14005&1
17120&0|7064&1|8839&0|684&0|4040&1|10423&1|1940&0|3286&0|13660&0|9379&0;9177&0|16497&0|2972&0;17120&0|7064&1|8839&0|684&0|4040&1|10423&1|1940&0|3286&0|13660&0|9379&0|9177&0|16497&0|2972&0
4192&0|1224&1|14512&0|8422&1|14700&1|13959&1|9860&0|1293&1|1293&1|19959&0;8422&0|2473&0|15661&1;4192&0|1224&1|14512&0|8422&1|14700&1|13959&1|9860&0|1293&1|1293&1|19959&0|8422&0|2473&0|15661&1
4192&0|4118&0|10364&0|15732&0|13598&1|6779&0|2494&1|13709&1|9657&0|7162&0;16975&0|11484&1|19783&0;4192&0|4118&0|10364&0|15732&0|13598&1|6779&0|2494&1|13709&1|9657&0|7162&0|16975&0|11484&1|19783&0
1562&1|2066&1|19813&1|5436&0|2587&0|1562&1|2066&0|16197&1|19813&1|6866&0;2587&1|19813&1|1562&1;1562&1|2066&1|19813&1|5436&0|2587&0|1562&1|2066&0|16197&1|19813&1|6866&0|2587&1|19813&1|1562&1
10000&0|20484&0|3380&0|3380&0|10000&0|20484&0|1419&1|20484&0|10000&0|20484&1;10000&0|10000&0|10000&0;10000&0|20484&0|3380&0|3380&0|10000&0|20484&0|1419&1|20484&0|10000&0|20484&1|10000&0|10000&0|10000&0
4704&1|4704&0|61&1|10979&1|3652&0|16030&0|18062&1|14181&1|15830&1|11443&1;15262&1|15830&0|5255&1;4704&1|4704&0|61&1|10979&1|3652&0|16030&0|18062&1|14181&1|15830&1|11443&1|15262&1|15830&0|5255&1
6592&0|15216&1|13485&0|3665&0|11855&1|13856&0|6592&0|7445&0|8381&1|19217&0;9657&0|8566&1|4118&1;6592&0|15216&1|13485&0|3665&0|11855&1|13856&0|6592&0|7445&0|8381&1|19217&0|9657&0|8566&1|4118&1
148&1|18940&1|12588&0|11545&1|6262&0|8363&0|11545&0|18940&1|12588&0|15216&1;5737&0|14031&0|528&0;148&1|18940&1|12588&0|11545&1|6262&0|8363&0|11545&0|18940&1|12588&0|15216&1|5737&0|14031&0|528&0
12289&1|16796&0|15517&1|5368&1|16791&1|11203&0|14047&1|8398&0|12621&1|12894&1;12894&0|8398&1|12621&0;12289&1|16796&0|15517&1|5368&1|16791&1|11203&0|14047&1|8398&0|12621&1|12894&1|12894&0|8398&1|12621&0
18401&0|13135&0|5861&1|17373&0|17751&1|11776&1|9884&1|19641&0|5829&0|162&0;18762&1|15402&1|20519&0;18401&0|13135&0|5861&1|17373&0|17751&1|11776&1|9884&1|19641&0|5829&0|162&0|18762&1|15402&1|20519&0
4899&0|2903&1|1524&0|1293&0|5368&0|1224&1|14700&1|18947&0|13263&0|4458&1;15267&0|2080&0|3700&0;4899&0|2903&1|1524&0|1293&0|5368&0|1224&1|14700&1|18947&0|13263&0|4458&1|15267&0|2080&0|3700&0
18593&1|15612&0|19929&0|15291&0|10976&0|10293&0|8912&0|8156&0|4175&0|16952&0;3048&1|17763&0|3048&0;18593&1|15612&0|19929&0|15291&0|10976&0|10293&0|8912&0|8156&0|4175&0|16952&0|3048&1|17763&0|3048&0
19243&1|14766&1|10349&1|6091&1|12538&1|4247&0|6091&1|19534&1|6091&1|6653&1;19243&1|16988&1|15949&1;19243&1|14766&1|10349&1|6091&1|12538&1|4247&0|6091&1|19534&1|6091&1|6653&1|19243&1|16988&1|15949&1
501&0|2600&0|2993&0|14901&0|20171&0|10911&0|3071&0|466&0|17823&0|11655&0;4195&1|17901&0|7016&0;501&0|2600&0|2993&0|14901&0|20171&0|10911&0|3071&0|466&0|17823&0|11655&0|4195&1|17901&0|7016&0
4192&1|165&1|9187&1|10519&1|12493&0|20481&0|165&0|11154&0|20481&0|356&1;5544&1|19656&1|8798&0;4192&1|165&1|9187&1|10519&1|12493&0|20481&0|165&0|11154&0|20481&0|356&1|5544&1|19656&1|8798&0
3063&0|1824&1|1824&0|17899&0|17971&1|3063&1|17899&1|17295&1|17899&1|6912&1;14452&1|10956&1|16592&1;3063&0|1824&1|1824&0|17899&0|17971&1|3063&1|17899&1|17295&1|17899&1|6912&1|14452&1|10956&1|16592&1
8904&0|18209&1|19469&0|18209&0|8877&0|16972&0|3130&0|12491&0|2443&0|13446&0;18921&0|2394&1|9726&0;8904&0|18209&1|19469&0|18209&0|8877&0|16972&0|3130&0|12491&0|2443&0|13446&0|18921&0|2394&1|9726&0
15847&0|14220&0|3565&1|19297&0|9149&1|7735&0|19612&0|3565&0|5844&0|281&0;17913&0|10155&1|17913&1;15847&0|14220&0|3565&1|19297&0|9149&1|7735&0|19612&0|3565&0|5844&0|281&0|17913&0|10155&1|17913&1
15216&1|18384&0|20346&1|13024&1|13337&1|4704&1|18064&1|1233&0|18193&1|3517&1;1356&1|1976&1|12821&1;15216&1|18384&0|20346&1|13024&1|13337&1|4704&1|18064&1|1233&0|18193&1|3517&1|1356&1|1976&1|12821&1
20068&1|15404&1|11795&1|6498&1|18236&1|4067&1|16313&0|7052&1|2841&1|3002&1;2259&1|1680&1|5148&1;20068&1|15404&1|11795&1|6498&1|18236&1|4067&1|16313&0|7052&1|2841&1|3002&1|2259&1|1680&1|5148&1
9669&1|14279&1|8548&1|3803&1|6890&1|4262&0|3682&1|19266&1|973&1|10535&1;14689&1|2565&1|19851&0;9669&1|14279&1|8548&1|3803&1|6890&1|4262&0|3682&1|19266&1|973&1|10535&1|14689&1|2565&1|19851&0
13516&1|19898&1|5599&0|18698&1|8930&1|20084&0|16327&1|15766&1|8930&0|8610&1;16892&1|6690&1|327&1;13516&1|19898&1|5599&0|18698&1|8930&1|20084&0|16327&1|15766&1|8930&0|8610&1|16892&1|6690&1|327&1
13427&0|8767&1|13309&0|17143&1|18977&0|13427&0|13319&0|13318&0|5437&0|8767&0;13318&0|7584&0|17143&0;13427&0|8767&1|13309&0|17143&1|18977&0|13427&0|13319&0|13318&0|5437&0|8767&0|13318&0|7584&0|17143&0
11652&0|18397&1|2412&1|10317&1|8599&1|2627&0|9149&1|3523&1|3565&1|7270&1;11652&1|14728&0|2627&0;11652&0|18397&1|2412&1|10317&1|8599&1|2627&0|9149&1|3523&1|3565&1|7270&1|11652&1|14728&0|2627&0
7902&0|2494&0|13965&1|11711&1|13598&0|6779&0|9942&0|7162&0|9853&0|9657&1;17342&1|14982&1|8971&1;7902&0|2494&0|13965&1|11711&1|13598&0|6779&0|9942&0|7162&0|9853&0|9657&1|17342&1|14982&1|8971&1
16698&1|10690&0|13500&1|7772&1|5190&1|5403&1|17732&1|10856&1|5403&1|11968&1;11563&1|16549&1|15859&1;16698&1|10690&0|13500&1|7772&1|5190&1|5403&1|17732&1|10856&1|5403&1|11968&1|11563&1|16549&1|15859&1
19903&0|4847&0|16606&0|4847&0|4460&0|15218&0|11493&0|10504&0|8699&0|11493&1;7677&0|9670&1|15943&0;19903&0|4847&0|16606&0|4847&0|4460&0|15218&0|11493&0|10504&0|8699&0|11493&1|7677&0|9670&1|15943&0
12588&1|7927&1|11484&1|14523&1|1284&0|19959&1|1224&1|5544&1|5564&1|19094&1;18984&1|8981&1|12604&1;12588&1|7927&1|11484&1|14523&1|1284&0|19959&1|1224&1|5544&1|5564&1|19094&1|18984&1|8981&1|12604&1
7254&0|15659&1|20734&0|15871&1|12003&0|2981&0|7162&1|19959&1|14047&1|5544&1;5011&1|9187&1|11994&1;7254&0|15659&1|20734&0|15871&1|12003&0|2981&0|7162&1|19959&1|14047&1|5544&1|5011&1|9187&1|11994&1
4064&1|10061&1|9061&0|9101&0|11394&1|15649&0|15649&1|4064&1|11394&1|13689&0;18287&0|11209&0|14272&0;4064&1|10061&1|9061&0|9101&0|11394&1|15649&0|15649&1|4064&1|11394&1|13689&0|18287&0|11209&0|14272&0
9518&0|9284&1|13027&0|2113&0|7280&0|9688&0|19757&0|13438&0|4135&1|2562&0;14898&0|2113&1|14898&0;9518&0|9284&1|13027&0|2113&0|7280&0|9688&0|19757&0|13438&0|4135&1|2562&0|14898&0|2113&1|14898&0
15216&1|6779&0|9942&0|4118&1|4192&0|10642&0|10364&1|2494&1|9657&0|13598&0;15732&0|9942&1|3500&0;15216&1|6779&0|9942&0|4118&1|4192&0|10642&0|10364&1|2494&1|9657&0|13598&0|15732&0|9942&1|3500&0
18868&1|13502&1|454&0|9053&0|19333&0|454&0|54&0|15448&0|8986&0|12152&0;11739&0|2704&0|1473&0;18868&1|13502&1|454&0|9053&0|19333&0|454&0|54&0|15448&0|8986&0|12152&0|11739&0|2704&0|1473&0
3880&1|12290&1|8896&1|4955&0|11460&0|7921&0|12824&0|6698&0|7151&1|11212&0;1985&0|11906&0|12290&0;3880&1|12290&1|8896&1|4955&0|11460&0|7921&0|12824&0|6698&0|7151&1|11212&0|1985&0|11906&0|12290&0
9899&0|17972&0|10349&0|19959&1|5900&0|4444&0|9000&0|4166&1|14939&1|8599&1;15949&0|9149&0|12604&1;9899&0|17972&0|10349&0|19959&1|5900&0|4444&0|9000&0|4166&1|14939&1|8599&1|15949&0|9149&0|12604&1
6601&1|13084&0|19181&1|19070&0|2567&0|16866&1|1800&0|4725&0|4462&0|7320&0;20313&1|15574&1|19345&0;6601&1|13084&0|19181&1|19070&0|2567&0|16866&1|1800&0|4725&0|4462&0|7320&0|20313&1|15574&1|19345&0
222&0|3344&0|14939&0|1284&0|10368&0|12493&0|12922&0|10595&0|11762&0|11488&0;17621&1|4084&0|17621&0;222&0|3344&0|14939&0|1284&0|10368&0|12493&0|12922&0|10595&0|11762&0|11488&0|17621&1|4084&0|17621&0
19776&1|9726&0|18068&1|4223&1|4358&1|9853&1|16854&1|7083&0|5941&1|14041&1;7165&1|16152&1|10010&1;19776&1|9726&0|18068&1|4223&1|4358&1|9853&1|16854&1|7083&0|5941&1|14041&1|7165&1|16152&1|10010&1
9870&0|7266&0|1842&0|8405&0|3700&0|11555&0|1524&0|19883&0|6181&0|8728&1;14387&0|16211&0|13018&0;9870&0|7266&0|1842&0|8405&0|3700&0|11555&0|1524&0|19883&0|6181&0|8728&1|14387&0|16211&0|13018&0
7162&1|16848&0|16227&0|13357&1|4886&0|11310&0|20387&1|11187&0|4765&0|12493&1;20449&0|20692&0|20446&0;7162&1|16848&0|16227&0|13357&1|4886&0|11310&0|20387&1|11187&0|4765&0|12493&1|20449&0|20692&0|20446&0
8894&1|19737&0|9454&1|4755&0|9430&0|14089&0|5323&0|20279&0|3556&0|1491&0;20061&1|20356&0|5896&0;8894&1|19737&0|9454&1|4755&0|9430&0|14089&0|5323&0|20279&0|3556&0|1491&0|20061&1|20356&0|5896&0
9448&1|14336&0|5756&0|5423&0|15830&0|15659&0|18947&0|250&1|19333&0|13507&0;356&1|9908&1|19794&1;9448&1|14336&0|5756&0|5423&0|15830&0|15659&0|18947&0|250&1|19333&0|13507&0|356&1|9908&1|19794&1
375&1|12171&0|8894&1|15194&0|13307&1|3679&1|13651&1|20034&0|12449&0|13454&1;6041&1|9766&1|4107&0;375&1|12171&0|8894&1|15194&0|13307&1|3679&1|13651&1|20034&0|12449&0|13454&1|6041&1|9766&1|4107&0
3246&1|13960&0|9572&0|20000&0|15591&0|1356&0|8039&0|14040&0|7584&0|2278&1;9285&0|11749&0|3525&0;3246&1|13960&0|9572&0|20000&0|15591&0|1356&0|8039&0|14040&0|7584&0|2278&1|9285&0|11749&0|3525&0
5443&0|19761&0|16597&0|1240&0|18961&1|19761&1|18961&0|6404&0|13744&1|12599&0;16597&1|9029&1|6404&1;5443&0|19761&0|16597&0|1240&0|18961&1|19761&1|18961&0|6404&0|13744&1|12599&0|16597&1|9029&1|6404&1
19407&1|15039&0|18940&0|3263&0|8323&0|16290&0|2821&1|1230&0|19478&0|18975&0;19942&0|15889&0|12639&0;19407&1|15039&0|18940&0|3263&0|8323&0|16290&0|2821&1|1230&0|19478&0|18975&0|19942&0|15889&0|12639&0
3837&1|2625&1|17676&1|10885&0|11887&0|17813&0|12080&1|17813&1|19813&1|10134&1;10397&1|11887&1|1625&1;3837&1|2625&1|17676&1|10885&0|11887&0|17813&0|12080&1|17813&1|19813&1|10134&1|10397&1|11887&1|1625&1
16156&0|11945&1|14047&1|4118&0|11749&0|3500&0|7254&0|4485&0|14700&1|16215&0;17224&1|17455&1|5265&1;16156&0|11945&1|14047&1|4118&0|11749&0|3500&0|7254&0|4485&0|14700&1|16215&0|17224&1|17455&1|5265&1
1734&0|10428&0|20658&1|20460&0|8405&0|2238&0|9494&0|11885&0|290&0|8391&0;3616&0|4458&1|8405&1;1734&0|10428&0|20658&1|20460&0|8405&0|2238&0|9494&0|11885&0|290&0|8391&0|3616&0|4458&1|8405&1
14480&1|18491&0|19534&1|11732&1|1854&0|10921&0|18652&0|9146&0|6542&1|5845&0;5310&0|10598&0|20635&0;14480&1|18491&0|19534&1|11732&1|1854&0|10921&0|18652&0|9146&0|6542&1|5845&0|5310&0|10598&0|20635&0
7775&0|5609&0|10155&0|16668&0|9875&1|543&0|9408&1|621&1|1312&0|16133&1;15860&0|0&1|16630&1;7775&0|5609&0|10155&0|16668&0|9875&1|543&0|9408&1|621&1|1312&0|16133&1|15860&0|0&1|16630&1
20720&0|9276&0|20720&1|5896&1|2303&1|9454&0|9454&0|9454&0|2303&0|20720&1;1857&0|3500&0|18940&0;20720&0|9276&0|20720&1|5896&1|2303&1|9454&0|9454&0|9454&0|2303&0|20720&1|1857&0|3500&0|18940&0
12797&0|11315&0|13891&0|4194&0|2192&0|1494&0|16337&0|9852&0|10551&0|78&0;15618&1|15618&0|6455&0;12797&0|11315&0|13891&0|4194&0|2192&0|1494&0|16337&0|9852&0|10551&0|78&0|15618&1|15618&0|6455&0
