state;action_reward;n_state
10112&1|6782&1|6782&1|10112&1|1366&0|12558&0|1366&0|10112&1|10112&1|10112&1;1366&1|4058&1|4058&0;10112&1|6782&1|6782&1|10112&1|1366&0|12558&0|1366&0|10112&1|10112&1|10112&1|1366&1|4058&1|4058&0
6881&0|16935&0|13639&0|19773&0|18373&0|5346&1|9569&0|20359&0|2897&0|13962&1;2897&1|15973&1|6881&1;6881&0|16935&0|13639&0|19773&0|18373&0|5346&1|9569&0|20359&0|2897&0|13962&1|2897&1|15973&1|6881&1
13057&0|6348&0|5251&1|16939&0|7596&1|6969&0|2929&0|10209&0|2720&0|11154&0;8713&0|19313&0|15670&0;13057&0|6348&0|5251&1|16939&0|7596&1|6969&0|2929&0|10209&0|2720&0|11154&0|8713&0|19313&0|15670&0
2621&1|8597&1|5856&1|19380&1|16485&1|4256&1|6519&1|1442&1|10285&1|3413&1;7094&0|4778&1|8176&0;2621&1|8597&1|5856&1|19380&1|16485&1|4256&1|6519&1|1442&1|10285&1|3413&1|7094&0|4778&1|8176&0
4487&1|20714&0|17103&1|13326&1|11709&0|10040&0|14682&0|14231&1|13500&1|13872&1;11449&1|9272&1|9795&1;4487&1|20714&0|17103&1|13326&1|11709&0|10040&0|14682&0|14231&1|13500&1|13872&1|11449&1|9272&1|9795&1
10694&0|2935&1|2935&0|5025&0|17080&0|19495&0|6677&1|8711&1|8568&0|13280&0;19542&0|908&0|8433&0;10694&0|2935&1|2935&0|5025&0|17080&0|19495&0|6677&1|8711&1|8568&0|13280&0|19542&0|908&0|8433&0
15216&1|3025&1|12514&1|6389&1|8630&1|5544&1|9977&1|18852&1|9315&1|9853&1;6059&0|17406&0|9870&0;15216&1|3025&1|12514&1|6389&1|8630&1|5544&1|9977&1|18852&1|9315&1|9853&1|6059&0|17406&0|9870&0
9738&0|11924&0|15413&1|11846&0|7924&1|9439&0|10517&1|1814&0|11313&1|11925&1;14436&0|12396&0|7744&0;9738&0|11924&0|15413&1|11846&0|7924&1|9439&0|10517&1|1814&0|11313&1|11925&1|14436&0|12396&0|7744&0
10800&1|13506&1|8972&1|17635&1|14649&1|6660&1|175&1|15164&1|142&1|17430&1;19481&1|18621&0|6799&1;10800&1|13506&1|8972&1|17635&1|14649&1|6660&1|175&1|15164&1|142&1|17430&1|19481&1|18621&0|6799&1
16159&1|6402&0|6156&0|217&0|6551&0|14745&0|14582&0|3286&1|9562&0|14211&1;12022&1|12357&0|12022&0;16159&1|6402&0|6156&0|217&0|6551&0|14745&0|14582&0|3286&1|9562&0|14211&1|12022&1|12357&0|12022&0
13664&0|10471&0|11963&1|1059&0|12081&1|17929&0|1401&0|12372&0|8080&1|17709&0;15954&0|11072&0|9130&0;13664&0|10471&0|11963&1|1059&0|12081&1|17929&0|1401&0|12372&0|8080&1|17709&0|15954&0|11072&0|9130&0
12092&0|18716&1|14198&1|13452&1|3554&1|5066&1|10685&1|16791&1|14469&1|12679&1;10225&1|17648&1|5514&0;12092&0|18716&1|14198&1|13452&1|3554&1|5066&1|10685&1|16791&1|14469&1|12679&1|10225&1|17648&1|5514&0
12604&1|18984&0|18886&0|12588&0|14005&1|15216&1|18075&0|1224&0|3490&0|8981&1;2720&0|4312&0|8934&0;12604&1|18984&0|18886&0|12588&0|14005&1|15216&1|18075&0|1224&0|3490&0|8981&1|2720&0|4312&0|8934&0
19607&0|10547&0|14778&0|20481&1|13135&0|20716&0|12963&0|1408&0|5861&0|15732&0;19607&1|4168&1|9562&0;19607&0|10547&0|14778&0|20481&1|13135&0|20716&0|12963&0|1408&0|5861&0|15732&0|19607&1|4168&1|9562&0
19794&0|11129&0|16313&1|375&1|8305&1|11817&1|8604&0|18387&0|1018&0|2981&1;4440&0|15666&0|15609&0;19794&0|11129&0|16313&1|375&1|8305&1|11817&1|8604&0|18387&0|1018&0|2981&1|4440&0|15666&0|15609&0
16151&0|19107&0|7696&0|20665&1|3920&1|12503&0|5414&0|16122&0|4407&1|3389&0;13293&0|5588&1|6352&0;16151&0|19107&0|7696&0|20665&1|3920&1|12503&0|5414&0|16122&0|4407&1|3389&0|13293&0|5588&1|6352&0
19817&1|1284&0|11555&1|12602&0|10234&0|13959&0|14079&1|8339&1|15591&1|14700&1;11484&0|15216&0|2946&1;19817&1|1284&0|11555&1|12602&0|10234&0|13959&0|14079&1|8339&1|15591&1|14700&1|11484&0|15216&0|2946&1
923&1|18783&1|7712&0|10309&0|14610&1|18415&0|1799&0|17746&1|16708&0|10309&0;8134&1|11960&1|18154&1;923&1|18783&1|7712&0|10309&0|14610&1|18415&0|1799&0|17746&1|16708&0|10309&0|8134&1|11960&1|18154&1
15375&1|461&0|6400&1|8312&0|3285&1|7833&1|13224&1|5947&0|18171&1|16431&1;19799&1|7506&1|13671&1;15375&1|461&0|6400&1|8312&0|3285&1|7833&1|13224&1|5947&0|18171&1|16431&1|19799&1|7506&1|13671&1
20640&1|13430&1|1099&1|1020&1|8113&1|12345&1|6720&1|3071&1|7548&1|19377&1;16533&1|2700&0|10761&1;20640&1|13430&1|1099&1|1020&1|8113&1|12345&1|6720&1|3071&1|7548&1|19377&1|16533&1|2700&0|10761&1
14190&1|6089&1|6242&1|8573&1|6589&1|20443&1|6242&1|8573&1|13353&1|6589&1;20285&0|18947&0|1408&0;14190&1|6089&1|6242&1|8573&1|6589&1|20443&1|6242&1|8573&1|13353&1|6589&1|20285&0|18947&0|1408&0
5031&1|11516&0|15076&1|1021&1|11285&1|14244&1|2710&0|16037&1|1157&1|3020&0;7737&0|16153&0|15838&0;5031&1|11516&0|15076&1|1021&1|11285&1|14244&1|2710&0|16037&1|1157&1|3020&0|7737&0|16153&0|15838&0
